symbol,timestamp,return_1,return_3,return_5,sma_fast,sma_slow,sma_cross,volatility,volume_ratio,high_low_range,label
BTC/USDT,1770585600000,-0.0010187708314564863,0.0013408770837279001,0.0011236436861832661,71016.75300000001,71102.90433333334,0.0,0.0018135641894779432,0.9735315113085258,0.002502605883110402,0
BTC/USDT,1770586020000,-0.0012345362429803171,-0.0014980402928468867,0.000865653682896805,70999.113,71110.37199999999,0.0,0.001813973230318021,0.3812540460154139,0.0023633588389310057,0
BTC/USDT,1770586440000,-0.0019591910436979466,-0.004206828213674305,-0.0018547106631612343,70975.064,71111.74200000001,0.0,0.0018167175088750452,1.0610502641785187,0.0033481032267985555,1
BTC/USDT,1770586860000,0.000838050577603195,-0.0023559324947354876,-0.00261914068690116,70947.31700000001,71105.88533333332,0.0,0.0018312008706376896,0.40953280323719826,0.001362298343902117,1
BTC/USDT,1770587280000,-0.0022040252907876753,-0.0033243330173346962,-0.005568895820196297,70914.124,71104.34966666666,0.0,0.0018242792916112799,2.2643216923638727,0.005065763633082369,1
BTC/USDT,1770587700000,0.0009869675835004713,-0.0003822042101264913,-0.0035722930728738227,70870.308,71096.28199999999,0.0,0.001840850030516399,0.8634650603537649,0.0019606767374882564,0
BTC/USDT,1770588120000,0.0009830250020928036,-0.00023740654324065259,-0.0013599223546405825,70852.92,71084.35033333334,0.0,0.0018204110225541084,1.1964436962529381,0.0018817629608702698,0
BTC/USDT,1770588540000,0.0005074163017375089,0.0024793791997961556,0.0011081660530290556,70849.411,71068.04333333332,0.0,0.001826224420297097,0.6704223877795435,0.0017603724738061012,1
BTC/USDT,1770588960000,0.0009130837975701305,0.0024053852575661337,0.0011832195236587955,70844.105,71050.13966666667,0.0,0.0018234657236875136,1.3552587093165644,0.0025674775735396583,1
BTC/USDT,1770589380000,-0.0005687637809191945,0.0008513914394689091,0.0028240322997279445,70833.889,71039.36666666667,0.0,0.0018266330800703944,0.4827610680600744,0.0018347142502068833,1
BTC/USDT,1770589800000,-0.001509097989323093,-0.0011658161305916313,0.0003233858141235735,70814.27599999998,71028.86166666666,0.0,0.0017382995210852086,0.4998247918407882,0.001743909498207186,1
BTC/USDT,1770590220000,0.0016270080509332857,-0.00045337470036572444,0.000966944483684095,70791.209,71011.01733333334,0.0,0.0017242559535296273,0.5646701859479213,0.003607897152703653,1
BTC/USDT,1770590640000,0.0014880370654452974,0.0016036636134201794,0.0019480156417311793,70788.41399999999,70997.372,0.0,0.0017365811441192676,0.710568273891226,0.0013488550303541868,0
BTC/USDT,1770591060000,0.0005087094295423464,0.00362776147864074,0.001543223155569854,70810.05099999999,70986.33866666668,0.0,0.0017371483897420012,0.501656997540964,0.0023271834263638054,0
BTC/USDT,1770591480000,0.0056987331970046835,0.007707619909834448,0.007823964538173273,70829.36899999999,70978.466,0.0,0.0017260032797952766,3.1075563702020936,0.0068805090988534115,0
BTC/USDT,1770591900000,0.001448226024653719,0.007667561628879073,0.010808931157486731,70904.75399999999,70986.68233333333,0.0,0.0018652504461814027,11.190569893001715,0.012577751779136401,0
BTC/USDT,1770592320000,-0.0023362417720755716,0.004802254197500476,0.0068093501904148345,70983.507,70994.34833333333,0.0,0.0018185964596707188,2.5792248615898474,0.0051178180273741885,0
BTC/USDT,1770592740000,-0.011904803622603889,-0.012785590844287506,-0.006654652105458216,71038.602,70994.835,1.0,0.0018435390261578371,3.240565007132197,0.015227619157730006,0
BTC/USDT,1770593160000,-0.002864736461694226,-0.017037252190348864,-0.010003945070978161,71005.17499999999,70960.79033333334,1.0,0.0023817056921120877,2.9014151013333436,0.008016962938102813,1
BTC/USDT,1770593580000,-0.0019429586492817651,-0.016649764265824856,-0.017526321833607448,70945.087,70932.79166666667,1.0,0.0024040976559640916,2.199772304997755,0.0059065068220752566,1
BTC/USDT,1770594000000,0.007393966969974635,0.0025563311399295044,-0.011693235485087461,70875.37399999998,70902.13433333332,0.0,0.002405662085582278,2.4772250008583416,0.009137018487558992,0
BTC/USDT,1770594420000,-0.0014628172320379988,0.003965872102758636,-0.010828002710925436,70868.224,70886.18199999999,0.0,0.0025479003179088035,1.3608370675183428,0.005257872248044964,0
BTC/USDT,1770594840000,-0.002868986673510229,0.003034361683596705,-0.0017823387592714802,70839.226,70867.568,0.0,0.002506436966201385,1.5872816766306435,0.005157177449737443,1
BTC/USDT,1770595260000,0.003178381153059677,-0.0011629807341961803,0.004267338704342315,70779.438,70845.60199999998,0.0,0.002527860811497128,1.4397079813988052,0.004394411306131763,0
BTC/USDT,1770595680000,0.0002880025204824863,0.0005883647470322663,0.006512181778321053,70738.405,70827.29933333333,0.0,0.002547254731348998,1.0744168367376774,0.00302563419142248,0
